,하여,라,는,하고,하니,에,이,하다,니,요,면,로,어늘,나,니라,러니,니이다,하며,가,를,한대,아,하니라,라하니,와,리오,러라,로되,오,로다,하면,호되,라도,라하고,라가,리라,할새,하시니,며,어든,라하여,하라,하사,라하니라,하나니,엔,하여는,하리니,하니이다,잇가
子,2557,2005,2324,1685,1547,1094,943,1250,609,484,482,529,322,235,283,319,99,112,364,192,370,243,150,180,129,97,46,126,115,148,47,69,61,95,70,53,77,133,40,52,68,115,94,57,32,41,38,24,8,25
有,2235,3696,944,1949,2845,790,422,275,925,828,1459,181,607,722,494,317,400,407,198,191,91,380,255,205,158,327,144,274,56,167,105,105,250,84,35,124,11,73,109,249,115,25,38,58,45,17,22,57,65,86
曰,113,911,491,134,110,159,567,31,364,544,60,32,32,62,68,11,37,19,341,17,7,52,13,227,34,23,8,9,98,14,8,14,20,229,3,2,0,6,22,10,44,9,5,101,5,2,0,3,7,8
所,1542,3951,1989,980,932,476,584,115,1284,1137,599,246,294,275,676,120,560,120,254,438,44,181,77,100,177,153,101,153,63,81,83,25,57,69,26,64,9,27,78,44,57,19,18,51,30,25,36,24,31,37
則,1413,3264,606,1988,726,284,676,22,1264,1439,68,113,168,230,586,25,307,189,178,349,3,122,42,187,81,154,34,50,109,51,10,12,106,53,15,293,2,21,86,15,21,19,13,63,190,6,3,94,23,35
下,2122,1586,1374,1213,1272,708,520,223,501,401,413,354,253,198,252,153,292,158,223,230,77,119,117,78,92,79,66,107,35,30,79,48,66,38,41,53,23,114,28,29,31,24,157,32,53,31,34,44,42,62
大,2171,1931,1071,1314,1117,445,836,877,508,558,320,263,263,177,179,127,130,115,199,140,111,85,132,85,138,61,89,97,39,62,49,46,48,55,44,40,58,35,32,35,41,27,41,35,17,37,38,41,33,13
王,1667,1064,933,1066,708,770,2656,906,254,229,178,425,247,94,85,156,65,49,129,91,185,59,57,90,204,29,27,51,29,34,33,31,23,53,38,8,49,71,20,18,42,15,61,22,8,13,17,16,5,14
無,1238,2307,457,1301,1282,132,140,130,510,684,641,122,230,295,390,142,439,260,65,83,26,230,131,143,42,91,160,127,61,108,43,18,52,87,30,154,3,29,42,42,59,150,18,56,34,14,9,53,46,55
公,1526,927,810,1026,923,731,1340,1246,218,269,168,278,165,112,79,188,42,52,88,88,200,74,83,82,91,29,63,71,32,68,28,57,24,36,56,25,67,30,7,10,33,23,17,24,2,18,16,8,11,12
可,530,3021,354,449,417,78,87,98,988,1110,278,91,207,285,764,62,700,57,47,81,25,688,38,243,29,247,40,142,100,283,13,15,29,179,16,173,4,13,134,81,83,26,4,62,4,3,7,20,35,133
天,1681,1565,1104,1044,781,718,661,143,540,550,348,288,229,190,249,98,254,126,206,221,37,151,61,107,96,82,26,94,24,49,43,30,60,46,18,50,20,103,40,37,45,19,103,39,41,34,25,28,32,36
言,1175,1991,1083,775,774,370,682,104,376,453,458,146,182,256,166,104,98,109,99,154,111,102,121,101,37,57,71,63,72,54,189,299,48,47,19,30,7,45,24,31,56,35,28,19,14,14,15,18,24,21
此,751,2180,2203,312,782,329,260,20,477,427,608,186,171,128,522,29,510,23,78,128,15,149,263,92,12,129,67,78,96,62,126,11,37,107,8,52,3,50,25,19,13,13,9,48,1,22,13,10,27,64
自,1666,1352,390,884,798,199,293,514,389,347,330,1530,256,136,199,142,147,79,64,73,74,98,90,87,27,62,80,51,45,35,56,46,25,51,36,56,40,22,31,30,73,39,25,20,18,14,13,46,21,10
故,677,1935,263,526,496,270,259,233,268,261,125,4856,55,91,156,69,103,45,60,69,78,28,246,81,33,20,46,21,76,10,15,5,24,28,23,2,8,12,11,11,13,2,6,102,28,6,5,4,11,12
是,930,2017,566,367,337,1785,198,149,608,500,341,1453,109,89,369,40,138,40,65,48,4,158,101,81,25,76,49,60,70,78,30,9,20,58,14,29,8,25,32,14,17,8,5,48,12,10,13,7,9,20
事,1404,1419,762,983,848,613,190,361,410,337,398,172,161,173,119,160,152,120,124,275,109,95,107,59,72,71,55,67,60,29,78,35,46,52,45,22,32,32,31,42,34,22,14,22,21,30,38,18,26,24
一,1030,1270,516,719,662,968,279,118,501,503,576,187,149,145,194,76,141,65,64,102,27,66,67,52,89,56,62,81,28,17,106,25,71,25,19,19,2,22,36,23,14,17,13,14,11,11,16,16,15,17
與,1230,1102,548,745,857,277,383,332,270,215,275,1119,144,117,151,243,105,87,110,93,95,161,79,61,83,112,57,72,45,38,37,46,37,39,60,25,77,34,38,12,29,30,11,19,12,13,11,18,16,70
得,1254,1684,361,984,893,177,166,228,421,400,567,107,125,190,246,164,203,81,38,87,26,246,99,89,38,218,76,47,30,38,73,20,85,55,24,87,6,20,42,45,30,12,7,26,21,10,32,32,24,32
至,1963,1107,348,653,958,864,196,323,249,209,337,90,207,121,154,105,139,69,55,52,55,58,62,50,67,46,52,111,30,22,52,25,49,24,30,47,7,24,5,30,20,5,38,20,30,34,497,19,30,12
君,1043,1022,1197,669,624,478,751,144,362,347,417,194,133,113,144,39,92,79,113,108,43,135,56,70,72,59,26,50,87,57,29,18,35,45,18,28,7,23,32,41,18,32,2,31,28,24,15,13,1,17
矣,43,3282,36,15,43,32,19,2,962,556,89,8,235,212,727,64,399,3,1,9,5,29,7,140,1,25,114,260,46,488,0,0,6,152,14,829,0,4,66,39,16,7,3,98,0,7,2,0,3,10
使,1578,577,194,1181,754,215,285,742,161,151,449,1101,174,56,72,198,130,83,68,56,338,78,56,43,37,20,35,22,24,18,57,53,118,30,58,7,20,33,13,22,13,18,10,8,9,6,9,10,13,14
中,1434,966,559,907,792,692,603,468,295,312,231,295,153,100,92,145,52,75,65,62,71,38,67,43,76,17,48,34,12,28,25,29,23,11,66,14,23,17,14,8,16,11,12,12,13,22,14,7,11,4
能,1116,1636,416,839,660,43,118,87,423,407,645,119,142,222,252,98,161,108,36,60,9,350,63,72,30,309,101,92,39,39,52,16,47,42,20,66,2,10,39,69,50,0,7,30,40,1,3,15,20,40
上,1425,853,672,941,814,341,998,177,252,252,227,168,141,63,83,79,56,103,48,71,114,26,73,40,52,16,27,34,9,15,42,141,19,19,20,4,28,32,11,17,38,5,28,10,18,24,12,11,12,6
如,800,1332,407,523,818,186,149,334,227,261,713,43,115,117,219,56,147,122,50,76,35,95,198,86,41,89,97,78,293,100,47,7,56,46,42,21,18,47,34,47,12,17,5,32,2,9,24,8,21,25
然,1056,1135,628,517,514,855,270,171,233,177,397,83,96,1507,185,60,128,51,80,75,14,147,65,31,23,43,92,40,46,29,33,16,24,15,21,29,5,23,14,13,10,5,19,14,13,16,9,12,23,19
謂,296,1908,607,178,131,80,238,1,592,593,69,55,44,68,208,41,127,13,73,61,8,121,8,104,32,43,16,42,89,135,3,59,16,68,7,6,0,5,27,8,95,10,4,59,2,2,2,4,0,15
皆,967,1858,87,779,910,60,71,579,466,362,102,106,258,152,199,137,172,58,12,11,49,22,168,79,14,5,205,192,8,12,8,85,13,33,13,30,8,9,18,5,30,19,3,15,16,0,1,21,39,6
將,1597,506,274,747,506,420,864,461,175,131,134,233,229,68,61,241,70,23,85,33,195,110,24,61,58,102,22,30,87,30,15,41,15,44,54,99,166,18,8,25,13,16,9,16,12,11,11,60,4,27
知,694,1469,399,927,454,119,178,133,260,400,350,66,108,212,282,131,193,99,61,22,25,149,32,59,71,122,78,112,57,92,27,8,28,24,44,44,9,10,28,24,15,3,15,24,30,0,7,8,20,26
臣,992,655,858,503,445,371,964,76,237,216,181,284,115,130,59,59,231,54,88,83,50,44,17,56,87,28,16,40,25,9,31,39,21,42,13,5,38,33,9,13,22,10,42,11,8,20,13,28,18,21
三,755,887,785,562,530,1176,336,254,295,352,156,174,107,86,56,91,65,38,53,90,44,24,57,43,125,13,56,60,25,32,26,42,30,14,23,7,12,15,22,11,7,9,12,16,10,19,16,11,7,2
二,741,994,661,427,504,1411,251,169,246,423,144,209,76,75,66,65,55,20,63,71,38,19,47,18,142,14,50,55,22,17,44,15,5,12,13,8,4,6,24,8,4,12,8,8,2,10,5,7,8,2
十,577,1256,214,393,348,2235,201,156,277,450,104,151,65,41,40,94,45,26,31,48,21,10,43,32,223,4,120,72,9,5,20,19,17,7,25,4,4,10,42,11,4,3,6,9,2,13,2,2,3,1
年,349,1829,159,225,237,2528,113,86,118,345,89,135,48,51,28,61,36,18,15,36,20,11,37,33,29,8,58,64,5,8,9,18,8,2,25,11,8,3,10,9,11,4,7,7,3,20,10,3,6,1
行,1107,913,450,646,516,399,274,285,261,249,347,67,114,98,104,95,97,116,50,101,67,55,51,58,36,30,30,42,11,29,46,28,29,22,41,26,32,39,15,25,20,17,12,18,26,12,12,13,16,14
道,981,1239,730,627,485,222,198,119,346,321,295,135,108,101,190,66,76,57,84,76,35,69,49,47,37,47,21,45,22,22,36,18,21,19,24,25,21,13,29,24,19,6,17,31,18,13,14,12,3,11
國,870,712,541,598,553,383,562,260,271,235,199,119,157,82,101,71,97,63,81,110,32,50,55,49,64,48,20,40,38,32,17,19,34,33,23,15,12,16,19,29,23,16,8,17,18,21,17,13,8,22
後,609,753,356,363,462,1928,244,151,200,158,170,199,77,45,154,66,63,57,74,53,38,46,61,56,33,30,34,29,17,30,17,10,19,17,20,35,21,12,13,17,20,11,10,16,20,44,29,20,8,6
夫,598,639,1427,560,264,317,317,298,188,181,238,215,80,64,57,40,40,64,143,75,43,74,36,33,118,69,13,53,25,42,10,20,34,25,20,9,18,39,21,29,7,15,22,14,9,20,17,2,4,13
今,883,498,811,524,720,732,536,8,147,141,291,193,109,148,44,5,65,16,111,71,5,58,76,30,33,20,0,67,26,23,98,10,37,24,12,9,2,37,10,13,5,14,27,13,9,48,7,8,10,11
亦,568,1954,62,247,471,40,82,160,467,217,36,64,104,107,426,80,255,48,16,15,17,278,98,73,14,80,94,76,24,118,4,29,1,28,13,120,1,22,26,12,17,11,7,31,13,1,0,19,28,60
在,766,975,311,486,855,558,107,51,280,296,194,60,139,90,168,99,120,79,41,60,20,55,85,96,21,31,16,48,55,71,42,7,29,38,33,16,11,23,16,15,22,4,21,17,5,55,29,8,16,18
于,1046,486,236,730,868,178,107,1157,117,66,85,39,121,57,43,120,18,117,45,19,93,18,86,83,21,10,10,23,5,112,34,20,14,20,61,7,79,43,14,20,10,20,67,15,16,4,12,8,7,2
相,1049,824,280,586,687,205,324,226,200,135,153,72,119,87,100,125,66,107,45,44,56,48,67,39,46,27,58,66,14,11,37,31,19,14,25,12,17,20,8,15,18,15,8,8,21,8,8,23,19,5
月,183,262,131,128,141,5225,47,122,74,67,45,101,27,10,19,14,17,27,6,23,5,4,23,17,16,4,8,10,4,4,6,3,4,3,5,6,2,1,2,13,1,1,5,3,7,6,3,1,3,1
時,1125,843,219,317,323,1630,288,35,194,159,165,105,72,104,84,52,62,75,61,50,12,38,32,37,30,19,43,46,16,11,31,22,22,14,19,5,8,9,14,10,12,8,8,11,14,105,19,4,6,3
見,586,982,218,916,552,256,190,101,200,194,182,52,109,78,129,71,65,56,55,39,96,48,167,49,35,33,43,52,9,37,46,19,22,17,18,30,24,10,18,28,6,10,6,15,15,6,17,21,12,7
非,253,1774,139,195,134,44,83,6,497,739,639,39,98,164,304,14,283,45,31,45,3,184,8,50,35,42,8,127,58,30,2,4,20,38,8,15,0,8,68,49,30,3,3,23,6,1,3,0,10,33
未,413,1452,155,449,573,504,58,61,241,275,157,71,185,218,231,174,282,50,6,33,11,46,36,51,15,6,64,78,10,34,8,6,19,32,13,18,3,29,25,24,45,0,6,19,10,42,7,3,14,5
兵,1516,425,299,771,692,233,562,435,119,104,158,122,238,71,36,165,71,43,36,49,132,8,25,23,41,14,31,36,6,2,43,28,19,24,61,5,54,6,3,8,33,11,2,7,1,5,10,11,11,3
文,754,857,580,493,407,341,492,129,178,188,104,150,78,120,86,81,21,55,80,71,35,29,112,44,65,17,13,42,10,12,27,20,18,23,17,4,16,17,11,3,16,6,26,23,1,15,22,3,3,4
用,874,904,393,576,505,142,244,122,261,224,270,80,83,102,123,73,110,101,34,59,30,64,63,50,45,112,40,45,26,17,38,7,26,18,19,30,9,30,29,8,17,15,25,12,19,9,14,14,25,10
太,966,407,289,723,380,318,611,650,63,162,38,205,102,35,19,129,38,19,127,22,106,16,42,28,92,9,24,21,8,9,11,32,7,29,40,2,49,14,10,0,28,3,11,5,1,4,11,3,6,4
書,977,379,358,670,428,380,253,359,67,114,58,114,74,51,34,73,10,38,58,54,106,20,78,37,85,9,20,34,13,8,25,63,13,20,44,3,19,8,7,7,14,10,9,10,1,4,10,1,5,1
乃,1266,759,119,632,541,71,239,855,269,133,23,196,117,19,107,65,48,45,18,13,70,78,57,47,20,8,52,16,13,26,16,41,2,35,9,14,21,20,5,8,12,19,42,17,5,0,2,17,15,34
州,1042,480,265,718,480,383,448,788,80,115,47,132,181,34,11,195,24,26,137,38,120,8,95,15,69,8,40,16,9,3,10,28,7,10,106,5,78,2,14,6,10,0,2,3,0,4,4,6,7,1
民,957,660,450,607,405,139,750,100,222,167,198,128,128,53,91,61,125,88,65,131,22,29,45,39,38,32,39,44,27,25,36,18,22,30,8,25,7,29,19,17,19,13,29,20,31,12,10,22,27,14
又,1192,808,146,337,863,206,153,151,171,78,156,153,94,29,70,51,67,75,44,35,67,94,59,38,39,116,13,11,19,25,35,46,7,19,33,15,3,27,18,7,25,2,7,13,4,8,2,7,10,20
出,1141,589,195,587,621,354,138,332,144,119,198,34,188,71,59,116,60,53,31,42,67,25,63,54,30,20,31,45,11,14,43,26,19,18,69,11,51,11,10,13,13,14,12,9,22,14,13,14,7,8
必,518,982,169,448,260,118,36,10,481,378,120,43,49,67,179,31,143,100,22,18,6,32,17,83,10,67,16,56,28,27,6,4,4,62,4,244,1,15,25,13,38,37,6,34,69,1,1,220,11,13
欲,999,540,227,366,452,72,146,64,162,127,258,131,391,260,62,246,58,49,30,61,233,109,22,44,12,25,25,80,20,8,25,77,40,23,58,7,19,31,11,29,10,8,18,5,8,4,2,10,6,15
軍,1196,307,200,779,484,218,747,662,54,56,76,167,134,29,9,139,25,30,63,51,109,9,35,11,48,13,31,16,9,6,20,32,4,18,49,8,37,1,4,5,15,12,2,6,1,3,8,8,1,2
何,188,149,88,97,46,49,87,35,22,39,7,60,17,14,25,13,11,14,94,6,9,358,4,4,13,1347,4,2,1560,5,0,9,0,2,3,0,2,0,124,2,2,3,1,4,1,1,6,1,1,150
乎,238,535,122,245,147,32,43,13,117,110,84,21,24,34,89,12,21,41,21,13,2,2396,12,29,17,179,0,16,26,47,10,2,9,4,4,29,1,6,42,2,3,0,1,8,16,1,1,4,2,452
及,954,477,195,398,421,918,249,328,91,87,148,109,84,76,77,67,58,49,48,60,40,23,35,32,62,36,39,30,10,29,24,13,18,20,17,36,7,13,6,19,9,7,7,13,8,38,231,8,9,8
已,400,1226,151,342,416,153,36,42,459,357,140,77,143,95,326,67,213,20,19,25,10,80,27,64,10,39,72,57,71,56,13,8,12,24,15,25,0,18,17,28,15,4,8,19,6,3,8,5,11,27
諸,861,383,328,507,462,232,546,341,93,73,127,118,109,39,46,70,18,48,73,110,100,43,28,23,43,18,16,31,21,7,23,41,15,8,19,9,41,12,3,17,9,19,9,9,12,13,5,9,7,27
明,733,755,384,460,323,465,271,82,156,236,143,127,80,59,78,35,85,78,22,37,24,25,40,34,47,20,10,22,13,18,14,15,17,16,9,16,13,33,10,9,9,7,41,11,5,7,4,11,7,9
四,536,682,435,343,411,917,188,95,194,254,80,99,52,54,23,39,40,53,37,54,20,14,31,32,70,10,42,44,15,25,17,15,5,8,6,8,1,17,20,13,4,6,15,12,10,5,9,9,4,4
日,604,495,252,407,347,1101,120,342,132,140,139,112,87,50,54,53,64,58,21,39,19,21,42,21,32,26,33,36,17,17,25,25,33,25,16,29,10,10,9,19,8,6,12,10,13,8,5,16,18,4
若,555,394,418,347,202,98,137,21,109,110,1450,73,34,82,78,29,46,71,36,31,9,43,28,34,56,34,14,31,111,10,136,3,38,11,13,8,1,8,17,66,6,4,12,9,4,8,6,2,6,9
當,949,863,155,260,222,215,109,31,401,287,164,52,117,93,157,50,88,26,26,24,3,49,10,59,23,32,16,64,23,8,22,9,18,53,8,35,7,8,10,13,30,11,3,15,3,26,32,18,4,11
士,876,427,429,525,313,174,212,175,104,147,75,193,72,48,41,96,47,60,217,57,54,44,43,23,51,23,45,37,10,28,18,23,24,14,33,6,15,14,13,16,10,2,10,9,5,8,3,6,7,5
五,535,655,451,313,359,815,172,164,207,266,83,164,38,46,26,33,32,32,32,54,19,11,29,18,79,5,41,36,9,6,17,17,7,7,8,3,10,8,20,8,12,4,6,10,4,9,10,1,5,2
侯,603,305,279,414,428,174,215,714,87,76,90,91,72,41,25,71,14,36,56,31,89,26,30,27,43,12,10,26,16,18,9,17,9,16,20,11,50,17,4,11,8,7,3,13,3,8,3,5,7,4
從,879,543,236,385,444,101,255,448,134,91,190,84,97,64,64,149,48,49,54,35,59,53,59,41,18,41,34,23,19,22,31,28,11,9,36,24,26,14,10,14,6,17,7,18,24,3,7,9,11,9
主,751,454,179,523,383,208,381,262,126,120,84,138,121,50,27,100,36,22,332,12,104,21,23,28,28,18,47,26,16,3,15,32,12,9,23,3,37,11,7,12,24,3,9,4,16,4,5,8,3,6
心,784,730,286,407,299,94,310,25,220,190,250,89,51,83,92,52,80,44,33,75,5,56,27,26,23,30,31,28,15,43,27,14,14,24,5,17,0,13,11,10,15,9,20,16,12,1,6,16,11,9
世,583,610,381,322,343,361,178,87,122,141,86,127,73,96,110,66,60,30,75,45,16,61,34,42,37,24,30,45,12,26,6,8,39,10,16,13,4,15,10,9,16,5,5,20,10,54,31,13,14,7
陽,713,400,296,494,462,188,419,387,144,144,77,198,110,50,12,85,10,24,56,25,67,10,36,29,45,4,10,21,2,3,23,14,2,7,29,2,43,4,9,3,10,5,1,2,8,1,6,4,1,0
正,450,769,276,361,334,652,148,52,295,206,205,141,52,76,71,23,34,53,20,38,19,28,24,22,27,16,5,24,13,12,18,7,17,17,6,17,4,15,11,12,7,3,10,9,15,3,1,8,2,0
我,477,501,301,182,353,117,111,58,194,134,201,68,88,75,69,36,24,30,32,42,12,130,22,82,14,79,3,26,75,147,43,17,22,74,5,30,6,14,29,36,30,62,20,30,10,9,3,27,1,4
安,620,509,205,467,285,126,323,205,134,137,100,76,94,33,60,64,77,37,33,28,54,139,19,24,33,249,47,14,27,7,18,11,7,17,25,10,8,10,22,4,11,12,10,7,11,5,5,9,11,31
成,472,669,229,387,366,248,274,214,166,171,127,63,90,66,84,38,67,50,17,34,33,29,42,39,23,29,20,15,12,24,27,12,17,22,16,25,19,13,9,12,17,7,25,12,27,15,17,9,17,5
生,546,551,302,452,414,222,290,117,181,162,99,89,66,45,39,51,43,53,46,54,29,29,35,30,27,29,17,38,20,15,31,9,26,18,16,9,5,15,12,13,10,8,6,11,21,8,9,13,8,3
