cluster_id,book_name,paragraph_id,left_sentence_id,right_sentence_id,src_left,src_right,tgt_left,tgt_right,marker_left,marker_right,marker_normalized,cluster_size
3,자치통감강목6,1335,2905,2906,"金匱, 哀章所獻金匱圖ㆍ金策書也.","四輔, 王舜爲太師, 平晏爲太傅, 劉秀爲國師, 哀章爲國將.",금궤(金匱)는 애장(哀章)이 올린 금궤도(金匱圖)와 금책서(金策書)이다.,사보(四輔)는 왕순(王舜)이 태사(太師)가 되고 평안(平晏)이 태부(太傅)가 되고 유수(劉秀)가 국사(國師)가 되고 애장(哀章)이 국장(國將)이 된 것이다.,ㆍ,,ㆍ,25173
1,당송팔대가문초증공1,5,43,44,臣愚竊計殆進言者未有以當陛下之意也라하노이다,陛下明智大略은 固將比跡於唐虞三代之盛이니 如太宗世宗之所至는 恐不足以望陛下라,"신은 삼가 헤아려보건대, 아마도 진언한 자가 폐하의 의중을 채워드리지 못했다고 봅니다.",폐하의 밝으신 지혜와 큰 계책은 진정 앞으로 요순(堯舜)과 삼대(三代)(하(夏)ㆍ은(殷)ㆍ주(周))의 거룩한 치적과 어깨를 나란히 할 만하고 태종(太宗)과 세종(世宗)이 도달했던 그 정도는 폐하의 역량으로 보아 하찮은 수준일 것입니다.,라하노이다,"는,니,는,라",라하노이다,22791
1,당송팔대가문초증공1,5,44,45,陛下明智大略은 固將比跡於唐虞三代之盛이니 如太宗世宗之所至는 恐不足以望陛下라,故臣之所言도 亦不敢效二臣之卑近하노이다,폐하의 밝으신 지혜와 큰 계책은 진정 앞으로 요순(堯舜)과 삼대(三代)(하(夏)ㆍ은(殷)ㆍ주(周))의 거룩한 치적과 어깨를 나란히 할 만하고 태종(太宗)과 세종(世宗)이 도달했던 그 정도는 폐하의 역량으로 보아 하찮은 수준일 것입니다.,그러므로 신이 올리는 말씀도 감히 저들 두 신하(위징(魏徵)ㆍ왕박(王朴))의 천근한 견해를 본받을 수 없습니다.,"는,니,는,라","도,하노이다",라,22791
1,당송팔대가문초증공1,5,45,46,故臣之所言도 亦不敢效二臣之卑近하노이다,伏惟陛下는 超然獨觀於世俗之表하여 詳思臣言而擇其中하시면 則二君之明이 豈足道於後世며 而士之懷抱忠義者가 豈復感知言之少乎잇가,그러므로 신이 올리는 말씀도 감히 저들 두 신하(위징(魏徵)ㆍ왕박(王朴))의 천근한 견해를 본받을 수 없습니다.,"삼가 바라건대, 폐하께서는 초연히 세속 사람들의 통속적인 시각을 뛰어넘어 신이 올리는 말을 곰곰이 생각해보시고 좋은 점을 골라 행하신다면 저들 두 군주의 밝은 지혜가 어찌 후세에 거론될 만한 거리가 되겠으며, 충성과 의리를 가슴에 품은 선비들이 어찌 다시 옳은 말을 알아주는 사람이 적다고 유감스러워하겠습니까?","도,하노이다","는,하여,하시면,가,며,가,잇가",하노이다,22791
1,당송팔대가문초증공1,7,60,61,此致其知所以爲大學之道也라,古之聖人으로 舜禹成湯文武는 未有不由學而成이요 而傅說周公之輔其君도 未嘗不勉之以學이라,학문을 통해 지식을 극대화하는 일이 곧 ≪대학(大學)≫을 공부하는 방도입니다.,"옛날 성인으로서 순(舜)ㆍ우(禹)ㆍ성탕(成湯)ㆍ문왕(文王)ㆍ무왕(武王)은 학문을 통해 〈그 덕을〉 이루지 않은 이가 없었고, 부열(傅說)과 주공(周公)이 그 군주를 보좌할 때에도 학문을 가지고 권하지 않은 적이 없었습니다.",라,"로,는,요,도,라",라,22791
1,당송팔대가문초증공1,7,61,62,古之聖人으로 舜禹成湯文武는 未有不由學而成이요 而傅說周公之輔其君도 未嘗不勉之以學이라,故孟子以謂學焉而後에 有爲면 則湯以王하고 齊桓公以霸를 皆不勞而能也라하니 蓋學所以成人主之功德如此니이다,"옛날 성인으로서 순(舜)ㆍ우(禹)ㆍ성탕(成湯)ㆍ문왕(文王)ㆍ무왕(武王)은 학문을 통해 〈그 덕을〉 이루지 않은 이가 없었고, 부열(傅說)과 주공(周公)이 그 군주를 보좌할 때에도 학문을 가지고 권하지 않은 적이 없었습니다.","그러므로 맹자(孟子)가 “배운 다음에 정치를 하였기에 탕(湯)이 천하에 왕자(王者)가 되고 제(齊) 환공(桓公)이 제후의 패자(霸者)가 되는 일을 모두 힘들이지 않고 이루어낼 수 있었다. ” 하였으니,  대체로 학문이 군주의 업적과 도덕을 이루어내게 하는 역할이 이와 같습니다.","로,는,요,도,라","에,면,하고,를,라하니,니이다",라,22791
1,당송팔대가문초증공1,8,78,79,此周衰以來로 人主之所以可傳於後世者少也니이다,可傳於後世者 若漢之文帝宣帝와 唐之太宗은 皆可謂有美質矣라 由其學不能遠而所知者陋라,이 때문에 주(周)나라가 쇠약해진 이후로 후세에 이름을 전할 만한 군주가 적었던 것입니다.,"후세에 이름을 전할 만한 자로서 한(漢)의 문제(文帝)ㆍ선제(宣帝)와 당(唐)의 태종(太宗)과 같은 경우는 모두 아름다운 자질을 지녔다고 말할 수 있으나, 그 학문이 원대하지 못해 아는 바가 고루하였습니다.","로,니이다","와,는,라,라",니이다,22791
1,당송팔대가문초증공1,8,79,80,可傳於後世者 若漢之文帝宣帝와 唐之太宗은 皆可謂有美質矣라 由其學不能遠而所知者陋라,故足以賢於近世之庸主矣로되 若夫議唐虞三代之盛德이면 則彼烏足以云乎잇가,"후세에 이름을 전할 만한 자로서 한(漢)의 문제(文帝)ㆍ선제(宣帝)와 당(唐)의 태종(太宗)과 같은 경우는 모두 아름다운 자질을 지녔다고 말할 수 있으나, 그 학문이 원대하지 못해 아는 바가 고루하였습니다.",그러므로 근대의 무능한 군주보다는 월등히 나았지만 요순(堯舜)과 삼대(三代)의 거룩한 덕으로 논한다면 저들이 어찌 거론할 수준이 되겠습니까?,"와,는,라,라","로되,면,잇가",라,22791
1,자치통감강목6,482,1024,1025,"其制長二尺, 短者半之, 篆書起年月日, 稱皇帝, 以命諸侯王公.","以罪免, 亦賜策書而以隷書, 凡一木兩行, 唯此爲異也.","그 제도(制度)에 긴 것은 2척(尺)이고 짧은 것은 절반인데, 전서(篆書)로 연(年)ㆍ월(月)ㆍ일(日)을 쓰고 황제(皇帝)를 칭하여 제후(諸侯)의 왕공(王公)에 명한다.","죄로 면직(免職)할 적에도 책서(策書)를 하사하되, 예서(隷書)로 쓰고 한 목판에 두 줄을 쓰니, 이 점만이 다르다.",,,,22791
2,자치통감강목6,19,37,38,"歷階, 謂以次而登也.","典宗廟‧骨肉之官, 謂太常ㆍ宗正也.",“역계(歷階)”는 차례로 오름을 말한다.,“전종묘골육지관(典宗廟骨肉之官)”은 태상(太常)과 종정(宗正)을 이른다.,,ㆍ,ㆍ,20257
2,자치통감강목6,148,302,303,"許班, 謂許皇后ㆍ班倢伃之家.","上, 猶加也.",“허반(許班)”은 허황후(許皇后)와 반첩여(班倢伃)의 집안을 이른다.,상(上)은 가(加)와 같다.,ㆍ,,ㆍ,20257
2,자치통감강목6,482,1023,1024,"冊, 卽策書. 策書者, 編簡也.","其制長二尺, 短者半之, 篆書起年月日, 稱皇帝, 以命諸侯王公.",책(冊)은 바로 책서(策書)이니 책서(策書)란 죽간을 엮은 것이다.,"그 제도(制度)에 긴 것은 2척(尺)이고 짧은 것은 절반인데, 전서(篆書)로 연(年)ㆍ월(月)ㆍ일(日)을 쓰고 황제(皇帝)를 칭하여 제후(諸侯)의 왕공(王公)에 명한다.",,,,20257
2,자치통감강목6,497,1070,1071,"於ㆍ邑, 竝如字.","於, 或音烏. 邑, 又烏合切. 短氣貌.",오(於)와 읍(邑)은 모두 본음(本音)대로 읽는다.,"오(於)는 혹 음이 오(烏)이고, 읍(邑)은 또 오합(烏合)의 절(切)이니, 기운이 부족한 모양이다.",ㆍ,,ㆍ,20257
2,자치통감강목6,777,1716,1717,"縱ㆍ橫, 竝去聲.","素奪, 謂不先假之威權也.",종(縱)과 횡(橫)은 모두 거성(去聲)이다.,“소탈(素奪)”은 미리 위엄과 권세를 주지 않았음을 말한다.,ㆍ,,ㆍ,20257
2,자치통감강목6,894,1996,1997,"少府, 掌禁錢. 水衡都尉, 有鐘官ㆍ辯銅令ㆍ丞, 掌鑄錢.","見錢, 見在之錢也.","소부(少府)는 궁중의 돈을 관장하고, 수형도위(水衡都尉)는 속관으로 종관(鐘官)과 변동령(辯銅令)과 변동승(辯銅丞)이 있는데 돈을 주조하는 일을 관장하였다.",“현전(見錢)”은 현재 있는 돈이다.,"ㆍ,ㆍ",,ㆍ,20257
2,자치통감강목6,958,2160,2161,"關, 會也.","古者獄成, 命三公ㆍ六卿, 參聽之, 示明謹於用刑也.",관(關)은 모임이다.,"옛날에 옥사가 이루어지면 삼공(三公)과 육경(六卿)에게 명해서 참여하여 듣게 하여, 형벌을 사용함에 분명함과 신중함을 보였다.",,ㆍ,ㆍ,20257
2,자치통감강목6,1052,2325,2326,"供ㆍ養, 竝去聲.","行, 巡視也. 行內署門戶, 宿衛事也.",공(供)과 양(養)은 모두 거성(去聲)이다.,"행(行)은 순행하여 살펴본다는 뜻이니, “행내서문호(行內署門戶)”는 숙위(宿衛)하는 일이다.",ㆍ,,ㆍ,20257
2,자치통감강목6,1061,2346,2347,"幹, 讀曰管.","四輔, 謂太師ㆍ太保ㆍ太傅ㆍ少傅也.",간(幹)은 관(管)으로 읽는다.,"사보(四輔)는 태사(太師)와 태보(太保), 태부(太傅)와 소부(少傅)를 이른다.",,"ㆍ,ㆍ,ㆍ",ㆍ,20257
2,자치통감강목6,1171,2565,2566,"世室, 宗廟也, 言代代不毁也.","重屋ㆍ正堂, 若大寢也, 四阿屋棟, 皆爲重複.",세실(世室)은 종묘(宗廟)이니 대대로 훼철하지 않음을 말한 것이다.,중옥(重屋)과 정당(正堂)은 대침(大寢)과 같으니 사방의 지붕과 들보가 모두 이중으로 되어 있다.,,ㆍ,ㆍ,20257
